[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9981612691195562, -4.25586688028482e-05, -0.060614181660702135, 0.0], [0.0007815604334426539, 0.9999256587981644, 0.012168238999367286, 0.0], [0.06060915766553571, -0.012193238528650039, 0.9980870978733558, 0.0]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9981613779777675, 0.00022234376664236974, -0.06061199614576225, 0.01752004115237216], [0.0005220384482799249, 0.9999246458882353, 0.012264991689599207, 0.0008187989404033984], [0.06061015582708049, -0.012274082798191295, 0.998086046341737, -0.001533508299999653]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9981568014599205, 0.0002883295603461834, -0.06068703786942736, 0.02267226599462431], [0.00045515953301374177, 0.9999250212688585, 0.012237020481810395, 0.0011285868791235081], [0.06068601592706665, -0.012242087507340037, 0.9980818296935189, -0.0015411376899976403]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9981416441667466, 0.0003992879909404835, -0.060935201232162624, 0.023941866372784313], [0.00034136445561414486, 0.9999262023341784, 0.012143860829903553, 0.0016265848635875742], [0.06093555325433836, -0.01214209432708844, 0.9980678473405201, -0.000984191900002429]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9981251695368123, 0.0004389944252236775, -0.06120419283843512, 0.027395763640236815], [0.00029644318406875223, 0.9999278750413794, 0.012006533082879035, 0.002019800320075378], [0.06120504928964888, -0.012002166434701369, 0.9980530496633561, -0.0008544921900011104]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9981028293917774, 0.0004383059717879593, -0.06156744146059151, 0.03563767394120103], [0.0002804669024410719, 0.999931917173543, 0.011665434237923393, 0.0026466072937219036], [0.061568362804649134, -0.011660570548552726, 0.9980347527997395, -0.0014266967699967381]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9980719074676013, 0.00035036819795940054, -0.06206726001773945, 0.03929671065321085], [0.00032337530933505175, 0.9999411424723432, 0.010844677012922454, 0.002159399442103885], [0.06206740652220882, -0.010843838491565378, 0.9980130501222796, -0.0022125244200026373]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9980351162264812, 0.000278615717615854, -0.06265643743523773, 0.04978643522276826], [0.00031637714244126886, 0.9999549568856523, 0.009485995220177254, 0.0028787540143055752], [0.06265625814152728, -0.00948717940672476, 0.9979900734689734, -0.004669189449998612]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9979925652565294, 0.000325600951010393, -0.06333035351798273, 0.06908281573001945], [0.00018662461187832967, 0.9999673221321362, 0.008082068988745821, 0.0042276976629678905], [0.06333091554640757, -0.008077663765304097, 0.9979598922222017, -0.0037841796900011104]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9979246336150547, 0.0004939895206412741, -0.06439085027092249, 0.0765490787572925], [1.3970944871523533e-05, 0.9999688890147398, 0.007888016698734509, 0.005718575977356344], [0.06439274360571665, -0.007872545775053435, 0.9978935802949872, -0.001945495599997571]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9978409712247766, 0.0007797472388129202, -0.06567182150236317, 0.08963444323485628], [-0.00023748615563555213, 0.9999658199336177, 0.008264536575846125, 0.00619521658050149], [0.06567602108471986, -0.008231097055142807, 0.9978070501333153, -0.0010070800800008328]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.997742075387852, 0.0010166701807477923, -0.06715442935864817, 0.11258744537227157], [-0.00043202234564275276, 0.9999618870199717, 0.00871996927461879, 0.007516018310755046], [0.06716073523596175, -0.008671268027284629, 0.9977044876882954, -3.814696999882017e-05]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9976108089551449, 0.0008291004718639567, -0.06907956606891213, 0.11442279358664223], [-0.00019852455360266412, 0.9999582587765555, 0.00913462054827333, 0.00811968798957772], [0.06908425612151627, -0.00909908220464435, 0.9975693320562585, 0.0007553100600006246]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9974106869004356, 0.00012134977886449092, -0.07191597132092757, 0.13712900536739286], [0.0005196510148933248, 0.9999603088915474, 0.008894414221509352, 0.010489766909500006], [0.07191419623150931, -0.008908755005736605, 0.9973710355051544, 0.001075744619996044]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9971794052931537, -2.584704287312808e-05, -0.07505486653857063, 0.13537508840727483], [0.0006910454384927861, 0.9999607153026931, 0.008836872044347273, 0.011121134318725325], [0.07505168962384666, -0.008863813132992076, 0.9971402492635373, 0.0003204345699998612]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9968810069559356, 0.0005891008266333266, -0.07891711430821607, 0.14545214707198223], [0.00014753839010670544, 0.9999564806555299, 0.009328184573128947, 0.011164627595929042], [0.07891917512837693, -0.00931073333432851, 0.9968375364330107, -0.00025939940999819555]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9964686243584066, 0.001592881453802818, -0.08395083917352551, 0.17132112616530015], [-0.0007762492153951551, 0.9999520761013757, 0.00975924882890002, 0.013167296643704533], [0.08396236124848212, -0.00965961848226518, 0.9964221061700491, -0.0005187988300008328]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9960579545392099, 0.0019946630255654545, -0.08868242508287592, 0.16423310772878566], [-0.0011335144415826886, 0.9999517297868148, 0.009759776706868579, 0.012808120057073213], [0.08869761182904634, -0.009620780413856927, 0.9960121355887448, -0.001327514650000694]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9956223268008201, 0.0019608689029602167, -0.09344697624250083, 0.1715544398662764], [-0.0010434125804820243, 0.9999507876020143, 0.009865782498024816, 0.015262291986402247], [0.09346172299881915, -0.009725089575774842, 0.995575375833912, -0.00022125243999937538]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9951003906881011, 0.0011803748911903005, -0.09886262775945669, 0.19831013253549543], [-0.00016518666637151935, 0.9999471844967591, 0.01027623133107006, 0.019405005102470688], [0.0988695360854591, -0.010209551024440808, 0.995048028942385, -0.0007247924799997918]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[0.9946018089919785, -0.0005020647574474229, -0.10376410497307494, 0.18849617499392116], [0.0016450728922237502, 0.9999389107903793, 0.010930161139206002, 0.020442936529100664], [0.10375227845721392, -0.011041857557905177, 0.9945418754867024, 0.0018997192400007634]]]
