[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.43702475290558435, 0.040907695831699925, -0.8985187397987613, 0.0], [0.010634910762251306, 0.9991303937978686, 0.040315690027519106, 0.0], [0.8993866043147918, 0.008063287856524342, -0.43707976316463215, 0.0]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.4322746305164739, 0.04202624339505587, -0.9007621432309116, -0.32543870049269275], [0.010494663264241852, 0.99908018348039, 0.041577025143227364, 0.6806747501817865], [0.9016809335096402, 0.008519497807377551, -0.43231806844300874, 0.0027694702099978485]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.42592363441341885, 0.04287911815664445, -0.9037424626928696, -0.34598906489208114], [0.0097170033990853, 0.9990355103166503, 0.042820894097300895, 0.7336854280214835], [0.9047069345887686, 0.009456762260870178, -0.42592949199901015, -0.0005035400400004164]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.41899366919058767, 0.04506900877434378, -0.9068699408549754, -0.29799120808933854], [0.0094867993337917, 0.9989301468547321, 0.04526104664260362, 0.6553130147781115], [0.9079395937046741, 0.010360798853452122, -0.41897296813817186, -0.005477905269998473]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.4109149300072981, 0.046277644570348976, -0.9104983799601831, -0.28623034369678274], [0.00868186940812101, 0.9988641691080886, 0.04685079311589328, 0.64125305910651], [0.9116323521248452, 0.011346862342883637, -0.4108499766025234, -0.004051208500001735]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.39957137060384595, 0.0441159777865136, -0.9156399403137152, -0.29872726121096205], [0.007401707366656352, 0.9989640396838015, 0.04490058069422683, 0.6895576195569593], [0.9166722066921318, 0.011163687677475992, -0.399483964078181, -0.005615234369997779]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.38724620621351014, 0.0409348659200645, -0.921067159617229, -0.2542987706249621], [0.006216997395128521, 0.9991071005583164, 0.04178935937943118, 0.6176719683001236], [0.921955381087736, 0.010456498747698953, -0.387154926246983, -0.0023956298900031925]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.3733100453968066, 0.03789361947144418, -0.9269324050917561, -0.23918507129213804], [0.005738600663460328, 0.9992406386423075, 0.038538481393783824, 0.6063682980027288], [0.9276888909910798, 0.009067507323794998, -0.37324402452373356, -0.011665344229996322]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.35511161156342164, 0.035064577747103705, -0.9341660552172975, -0.25206689092373724], [0.004925713920960535, 0.9993525916816874, 0.035638951183550746, 0.6506067859466771], [0.9348109331170653, 0.008054370646548186, -0.35505442743090754, -0.015350341800001388]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.3357020404828862, 0.03373261228270852, -0.9413640373862872, -0.21802096808150478], [0.00417634882083472, 0.9994020662837094, 0.03432299547502799, 0.583007341081508], [0.9419589683877708, 0.007590835028937337, -0.3356421920697845, -0.020416259770001943]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.31412911732664905, 0.034641092519264276, -0.9487480657986356, -0.20267396346004588], [0.004072283851797008, 0.9993740588720319, 0.0351412429756103, 0.5723185763645283], [0.949371536413332, 0.00717531620991434, -0.3140735593542968, -0.017562866209999584]]]
