[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10081882355294866, 0.06150655957890561, -0.9930017663358741, 0.0], [-0.0052364924760019025, 0.9981061986640738, 0.06129107059679327, 0.0], [0.9948910211495268, -0.0009794473537950168, 0.1009499713666773, 0.0]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10081905909303095, 0.061341490740733855, -0.9930119530183412, 0.012045773661210108], [-0.005231955623641602, 0.9981163689546368, 0.06112561382238727, 0.017601001116355323], [0.9948910211495268, -0.0009672324001194109, 0.10095008914080256, -0.011657714850002776]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10093577001127431, 0.06125552407776454, -0.9930054033600167, 0.016316440469400274], [-0.005229004845205578, 0.9981216471380311, 0.06103961846860451, 0.02704026734324449], [0.9948792026374659, -0.0009686508258381494, 0.10106648245099682, -0.016975402829999098]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10116291377344747, 0.060982617376961895, -0.9929990862305569, 0.016840048720854366], [-0.005228802901527366, 0.9981383713238338, 0.060765543782816525, 0.045197663730575974], [0.9948561325624339, -0.0009550229628013546, 0.10129345207888568, -0.021995544429998404]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10124961202785815, 0.06081247473296354, -0.9930006842802581, 0.015767700506446276], [-0.005228208078128155, 0.9981487627547193, 0.06059466355641167, 0.04694115698048467], [0.9948473158754061, -0.0009435719769044456, 0.10138011524665182, -0.019927978520001943]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10151151782758554, 0.06095957358476838, -0.9929649249277152, 0.015579187494511372], [-0.005229823617328501, 0.9981397615435954, 0.060742615770365875, 0.1260494996477954], [0.9948206173442886, -0.0009730437081018872, 0.10164149001599056, -0.08295440674000076]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10169622378299478, 0.06128416586084462, -0.9929260441155824, 0.011573389847263077], [-0.005240971037348357, 0.998119851524191, 0.061067947533157245, 0.09760433835526074], [0.9948016939525509, -0.0010064830188614995, 0.1018262083211784, -0.05474090575999924]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10195010981753562, 0.06145513194090278, -0.992889440907858, 0.015194325796042248], [-0.005243322059896939, 0.9981093079542305, 0.06123983139185983, 0.11424961048907144], [0.9947756946578302, -0.001037368427056565, 0.10207958260483788, -0.06478118895999785]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10214185146633967, 0.06169420638745733, -0.9928549073642382, 0.0175867940592101], [-0.005253080973371251, 0.9980945309214012, 0.06147936633599321, 0.11603915465388455], [0.9947559737540235, -0.0010640690813423456, 0.10227130798848091, -0.053535461430001874]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10221123727259819, 0.06220161900389738, -0.9928161066222176, 0.026947731874594715], [-0.005278990670725707, 0.9980630041496331, 0.06198686962016915, 0.1479023355401413], [0.994748709590871, -0.0010946876739278113, 0.10234161629656591, -0.08689880370999958]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10199299326127666, 0.0625718520301528, -0.992815286273898, 0.026314101758914556], [-0.005300137392475668, 0.998039857914781, 0.062356640039892004, 0.14650912168044963], [0.9947709977020973, -0.001097882944782838, 0.10212471191544924, -0.07936859131000062]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10150594675516753, 0.062364133310547666, -0.9928782693008048, 0.03559056706631117], [-0.0052797131342831255, 0.9980528931994233, 0.062149392639673826, 0.1881542827610465], [0.9948209222782545, -0.0010664205009769743, 0.10163756856968945, -0.1173019409200009]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.10037805697280477, 0.06148974175744249, -0.9930474597605935, 0.03561601528534167], [-0.005206251884386729, 0.9981072335723116, 0.06127679195211989, 0.20160211337430686], [0.9949357469805177, -0.000980790105016551, 0.10050819584038517, -0.09632110594999688]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.09768412668102465, 0.060905164427588435, -0.9933520888087034, 0.03493179828264505], [-0.005084059985984012, 0.9981431701881341, 0.060698963260014255, 0.2634162402479055], [0.9952044833744593, -0.0008790636097921286, 0.0978123893918633, -0.10673522950000347]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.09375096148058196, 0.06063493075837707, -0.993747534534498, 0.0197104315930729], [-0.004892891603815197, 0.9981596858005684, 0.06044254506772594, 0.2143509453977454], [0.9955836563710856, -0.0008042477463968155, 0.09387511039856446, -0.07112121581999986]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.08793852230297522, 0.06048486751834343, -0.9942878844160064, 0.019136199876840405], [-0.004600825475960709, 0.9981688478420027, 0.06031404150534749, 0.21028220223061694], [0.9961152788207341, -0.0007293826550403355, 0.08805577380747753, -0.06260681151999847]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.07919401613447433, 0.06057353175168553, -0.9950171631985149, 0.028394507725071624], [-0.004168339459813512, 0.9981635335518176, 0.06043331228302069, 0.260616240292862], [0.9968505067233704, -0.0006383874034491955, 0.07930107002356737, -0.09384918213000049]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.06849922000396907, 0.06101043261854504, -0.9957839042536015, 0.024498593191664142], [-0.003644234377938011, 0.9981369807103808, 0.0609039185452258, 0.2443081202919844], [0.9976445140502936, -0.0005430009786549273, 0.0685939409517392, -0.07650756836000028]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.05473431275319293, 0.06121841118131077, -0.9966225269076913, 0.02984278453500189], [-0.002945574265205596, 0.9981243093678079, 0.06114888912551679, 0.2736515016565638], [0.9984966092079051, -0.0004113167545228874, 0.05481197149203474, -0.08898925780999889]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.035891546813524064, 0.061167237215114655, -0.9974820128497569, 0.02313134751985823], [-0.001945861072980972, 0.9981274993275424, 0.06113680324347748, 0.2558638483139664], [0.9993537964564988, -0.00025333301583943416, 0.03594336281381888, -0.061622619630000486]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.015560611268798987, 0.060659929844678384, -0.9980371938400793, 0.020967166032146014], [-0.0008418866196443636, 0.9981584855031942, 0.060654175824005764, 0.2640361512422756], [0.9998785719295423, -0.00010358189242536836, 0.015583024960853132, -0.0663833618200016]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.008020403231878998, 0.05939183823419124, -0.9982025258849837, 0.01337162055885233], [0.00042984729842438906, 0.9982347455972981, 0.05939030151125177, 0.24274260337553644], [0.9999677436614134, 4.7259507151050196e-05, -0.008031774600975905, -0.04653930663999972]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.037269583691388206, 0.05813706344775025, -0.9976126803450039, 0.011806285204807795], [0.0020022560872971205, 0.9983085963931436, 0.05810281695505301, 0.30625628445309366], [0.9993032418150316, 0.00016799173722617774, -0.037322951072292394, -0.08150482176999674]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.06621633618449689, 0.0569527707710801, -0.9961785877661687, 0.0006822664711636779], [0.0035848066345675967, 0.9983768550959986, 0.05684016511249721, 0.27044427140210653], [0.9977988504622034, 0.00019263987123308612, -0.06631302214637456, -0.0718460083100041]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.09760029086889625, 0.05586432763177401, -0.9936565604476008, -0.005862644378113746], [0.00534749320862412, 0.9984383626208583, 0.05560791637315039, 0.27460934408880305], [0.9952113280799664, 0.00011377710393438958, -0.09774660871907553, -0.06369018553999695]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.1349518705171736, 0.05432924749277397, -0.9893615747090572, -0.015009866568494784], [0.007445142030959316, 0.9985230704416603, 0.05381679715384457, 0.31842958792574816], [0.9908241834473233, -0.0001032600025278673, -0.1351570450746724, -0.07057952881000062]]]
