[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.06990721548506137, 0.039423663360546715, 0.9967741750217849, 0.0], [0.003609926549858419, 0.9992222209270442, -0.0392673100164779, 0.0], [-0.9975469661391537, 0.000853213255783734, -0.06999515964486638, 0.0]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07045995180097574, 0.038376191418196, 0.9967761349091571, -0.06699210048153735], [0.0035435250422285445, 0.9992630104124506, -0.03822145276833114, -1.156320022059273], [-0.9975083150643304, 0.0008390194757264939, -0.07054401054547492, 0.007698059079999098]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07105280125312463, 0.03540265866330056, 0.9968440957309492, -0.07454826135359843], [0.003387945861880978, 0.9993727484656355, -0.035250977959182445, -1.2684180198326396], [-0.9974668020826162, 0.000872573098160088, -0.07112817556543562, 0.005584716800001388]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07153719417105969, 0.03361755585868541, 0.9968712503569457, -0.0684320052414225], [0.003322283519677025, 0.9994343487591772, -0.03346557862243161, -1.14994749700806], [-0.9974323998559236, 0.000917855330340956, -0.07160841612021299, 0.006881713870001249]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.0719717847489165, 0.03202965386321188, 0.996892252690058, -0.07492208219759658], [0.0032512311299866753, 0.9994864705743096, -0.031878278420408676, -1.2584599562412704], [-0.9974013694076197, 0.000946790532548777, -0.07203896092735125, 0.004692077629997016]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07225875276025936, 0.03085477862978844, 0.9969085491083114, -0.06576198134504099], [0.003241748923097405, 0.9995233643079798, -0.030700737228559902, -1.1337632920245966], [-0.9973806513630848, 0.0010133302345422647, -0.07232433510502849, 0.004028320320003331]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07257644281467225, 0.029595941692983203, 0.9969236380905381, -0.06823157926063483], [0.003281527478259958, 0.9995612996407308, -0.029435350141325325, -1.1342482757747037], [-0.9973574542388391, 0.0011351193058592342, -0.07264172339904548, 0.0023040771399962523]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.072776246562391, 0.028674981946069687, 0.9969359875873087, -0.07580651770000274], [0.0033444549663048926, 0.9995879945770266, -0.02850711697903343, -1.2439428259921512], [-0.9973426856187739, 0.0012595665407253878, -0.0728421645399219, 0.00048828125]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07302703263672689, 0.029337828062978355, 0.9968983620955656, -0.06592400008405705], [0.003426456610004302, 0.9995687260700548, -0.02916541201127909, -1.1234765293087026], [-0.9973240756641615, 0.0012859654874935488, -0.07309606277625896, 0.0027084350600006246]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07343011946012315, 0.03171618559981237, 0.9967959174911736, -0.06293538967727591], [0.0035373647650195554, 0.9994961829004275, -0.03154151895509038, -1.1219133479359522], [-0.9972940913324371, 0.0012099332516225915, -0.07350531582773709, 0.007049560550001388]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07364846534081465, 0.02865350844941998, 0.9968725495300198, -0.06645147050204744], [0.0035021165341147724, 0.9995884316593234, -0.028472837453185275, -1.2420878755386227], [-0.9972781150374875, 0.0013941830557886643, -0.07371850188984207, 0.02055358887000125]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07408773274286624, 0.024625472651413415, 0.9969476385215604, -0.06405841617522534], [0.0035445388087825738, 0.9996952609386528, -0.024429930442634643, -1.1236755279065525], [-0.9972454282179761, 0.0017237614375030844, -0.07415244126023039, 0.02197265625]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07467149642785596, 0.026970212456597097, 0.9968434055864897, -0.06840307290342607], [0.003734518355242163, 0.9996347509017677, -0.026765988907853568, -1.1158827591279947], [-0.997201193838976, 0.0017240735503440336, -0.07474494348458598, 0.015762329099999306]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07497462790158803, 0.03334144782565782, 0.9966278909542454, -0.07984549803971738], [0.0038991161864655247, 0.9994430372334417, -0.033142302553648764, -1.2254773077663075], [-0.9971778186782851, 0.0014011361397410292, -0.0750628720043075, -0.003181457520000208]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07483241703992441, 0.038636854468135674, 0.9964473407244214, -0.07640492832206934], [0.00413029630029303, 0.9992525493339819, -0.03843544330445519, -1.119467297059582], [-0.9971875701253173, 0.0012394056423575446, -0.07493606515703287, -0.006889343259999237]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.0750192061961431, 0.03991179096166955, 0.9963830426316641, -0.08248985453033518], [0.004201634595071174, 0.9992024773659461, -0.03970838063287827, -1.2283433818728158], [-0.9971732371902237, 0.0012075462674506455, -0.07512707144286873, -0.004058837889999722]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07549495535417701, 0.03744865488126492, 0.996442727889393, -0.07264352580259786], [0.004158989054790981, 0.9992976644437214, -0.03724084649099486, -1.1151010008831546], [-0.9971375103395284, 0.001332698355828636, -0.07559768110847992, -0.0013885498100023597]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.0761963850428086, 0.03515322647025973, 0.9964729607847564, -0.0721223368795652], [0.004077573039337158, 0.9993809529076968, -0.03494401756256406, -1.111848721112732], [-0.9970844920589814, 0.0014005834621845991, -0.07629255574070468, -0.004295349119999514]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07703742384321068, 0.0355480080914162, 0.9963942866397489, -0.07880082883463112], [0.004071282863222953, 0.9993670792812298, -0.035339291231600005, -1.2202746379795408], [-0.9970198894623161, 0.0013341550272822408, -0.07713339125770391, -0.003593444819998126]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07759969450557758, 0.03859082485503646, 0.9962374393936664, -0.07428565311504], [0.004161930603774212, 0.9992544143815038, -0.03838350782207659, -1.1071358176056538], [-0.9969759103139305, 0.0011677226065925663, -0.07770244962434358, 0.001815795900000694]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07808308733479681, 0.04164277238023575, 0.9960767595826913, -0.07586804372337733], [0.004269614416792795, 0.9991320455018603, -0.041435806303253664, -1.1071324806630172], [-0.9969377121289967, 0.0010174280105818287, -0.07819311334922581, 0.014915466299996183]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07863575680336951, 0.04532889644274397, 0.9958723356431005, -0.08447797706884036], [0.004439844140643309, 0.9989717353907345, -0.04511939355123268, -1.2152943269698209], [-0.9968935276828554, 0.0008735202958235351, -0.07875615167289896, 0.01944732665999993]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07912058152227062, 0.04634475767380325, 0.995787174558768, -0.0767627835342454], [0.004535322953895864, 0.9989251287638836, -0.046130445150275784, -1.1006518353508215], [-0.9968547358694152, 0.000866348783800459, -0.07924572552827827, 0.015167236330000833]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.07974517572408302, 0.0455387085003182, 0.9957745392290658, -0.07539858042589813], [0.004595288322916443, 0.9989621115888857, -0.045316475316421356, -1.1019949942805927], [-0.9968046901344136, 0.0009621008250727351, -0.07987167262576893, 0.02099609375]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08037061947542247, 0.04587928130598098, 0.9957086195629641, -0.08127735483799421], [0.004691487474888332, 0.9989464883744117, -0.0456497898100793, -1.2061279202186452], [-0.9967540085048114, 0.0010024526313590957, -0.08050119016705326, 0.00777435303000118]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08086285538013166, 0.04549843797183724, 0.9956862411231235, -0.07461600559274977], [0.004621888023355177, 0.9989639665935522, -0.04527285719695642, -1.0885729700420435], [-0.996714521199963, 0.0009410578087036595, -0.08098936744616049, -0.00968170165999993]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08111088832196311, 0.05031752756887053, 0.9954341616676504, -0.0832155978810912], [0.004596435922345709, 0.9987331401809233, -0.050109754351464336, -1.1945646275642672], [-0.9966944850717464, 0.0005110026499766448, -0.08123941348789958, -0.0031967163100006246]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08201716845690896, 0.053139392929970365, 0.9952132379532264, -0.07340834030385343], [0.0045448677700289375, 0.9985870879704601, -0.0529449895233656, -1.0922629583643564], [-0.9966205537993204, 0.00018071444479260187, -0.08214279692721373, 0.004821777339998334]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08275495785055473, 0.049444728688507196, 0.9953425720605307, -0.07284161514944071], [0.004430955248105068, 0.9987768052237762, -0.04924692866134941, -1.0912017797814562], [-0.996560075252236, 0.00033489088769475924, -0.0828728197984788, 0.00019073487000298428]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08312986238668965, 0.04486398654018016, 0.9955283264133133, -0.08182243177162041], [0.004284976859539441, 0.9989929513535482, -0.04466231206779067, -1.196540378186576], [-0.996529510327157, 0.0005530439856302476, -0.08323838771544477, -0.001113891599999306]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.0830847125290961, 0.046555799051724044, 0.9954544128781655, -0.07645897887814189], [0.004366375940995622, 0.9989155681385176, -0.04635323604285576, -1.0763998886633919], [-0.9965329223387953, 0.000495282907335137, -0.08319789294052071, -0.00289154053000118]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08344301971819044, 0.04631043506349047, 0.9954358874706799, -0.07592486773187207], [0.004440767302280178, 0.9989269314833179, -0.04610059807735594, -1.0709106788845455], [-0.9965026553131089, 0.0005737260262068618, -0.08355913350657829, 0.00029754639000145744]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08349775799315404, 0.041829785857241585, 0.9956296467187253, -0.08241033820575414], [0.004329558856104382, 0.9991244017219116, -0.041613517082113256, -1.1724645156865459], [-0.9964985596227565, 0.0008360017757848606, -0.08360575201983818, 0.0020751953099988896]]]
[[[707.0493, 0, 604.0814], [0, 707.0493, 180.5066], [0, 0, 1]], [[-0.08346754434360384, 0.042342200053842975, 0.9956105197997102, -0.07546221872871323], [0.0043921865057863175, 0.9991027992994019, -0.04212250146652671, -1.056677086011429], [-0.9965008167276869, 0.0008570453310623519, -0.08357863204404335, 0.0010910034200009022]]]
