[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9751072821787949, 0.010078461985930532, 0.22150443075903042, 0.0], [0.014788635634751498, 0.9996982039852688, 0.01961624848666514, 0.0], [-0.2212398799899026, 0.022403695066354288, -0.9749620453891665, 0.0]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9759817193760547, 0.011889804594847347, 0.21752773614060464, -0.6097813600877597], [0.01628967129060662, 0.9996971753740973, 0.018444624102853482, -0.14835895448746633], [-0.21724256040887602, 0.02154507126346822, -0.9758798490855563, -0.011238098150002429]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9767506573874986, 0.012890986692000918, 0.2139905973523044, -0.60830297543335], [0.017179885108865145, 0.9996868515347904, 0.018194790905753405, -0.14710478332924035], [-0.21368903771774445, 0.02144810785511273, -0.9766662550885536, -0.00968170165999993]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9774932842165724, 0.013759234059546635, 0.21051736932992846, -0.6723050930206432], [0.018170760245898178, 0.9996536744795619, 0.019035613244550966, -0.15609532798701997], [-0.21018254633433525, 0.022432444753183938, -0.9774047690894547, -0.010566711430001874]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9782366109831913, 0.01225097805286792, 0.20713050588667198, -0.608900258902459], [0.01682341503664818, 0.9996518100586842, 0.02032809270199672, -0.142566851958806], [-0.20680934611043378, 0.023370326979835796, -0.9781021021234083, -0.005584716789996946]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.978982570037433, 0.01242438911949011, 0.20356512991647188, -0.6708765026315706], [0.016885207460945125, 0.9996535411045274, 0.020191273515552416, -0.15116840964022718], [-0.203243738727429, 0.023204144289038137, -0.978853181205389, -0.013175964360002013]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9795584305192461, 0.012728712841654338, 0.20075672110309584, -0.6224425847101752], [0.01725866636642329, 0.9996340521183966, 0.020830273176492973, -0.12309999960425971], [-0.20041811204061372, 0.023869262970388026, -0.9794196437948989, 0.014099121100002776]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9801761723474814, 0.014725975356028128, 0.19757989981790655, -0.6181706996409355], [0.019055064393989546, 0.999617834833951, 0.020027201572484454, -0.12259065664712701], [-0.1972094715858781, 0.02339508349413749, -0.9800821875664923, 0.0015716552699984732]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9807202255406969, 0.015123427451570104, 0.19483100666352235, -0.6171332698908126], [0.019466910410888442, 0.9996023998296352, 0.020398079661784505, -0.12043870960486237], [-0.19444505294416423, 0.023797567038484402, -0.9806246974192472, 0.003097534180000139]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9811369416464131, 0.017138050382181746, 0.19255282123568243, -0.6792961501702672], [0.021751443955495473, 0.9995241621034703, 0.021870620869254363, -0.1286285872031074], [-0.19208637750390792, 0.02564637597114893, -0.981042856850287, 0.006080627439999375]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9814472936720395, 0.018556626762142207, 0.1908320239033264, -0.6147612633150493], [0.023174313174841834, 0.9994894710026484, 0.02199428479674867, -0.116931702239595], [-0.19032645888762692, 0.026008632375745657, -0.9813762734493022, -0.0029296875]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[-0.9815426068255404, 0.019433090928952998, 0.1902536884348622, -0.6152224175260035], [0.02412528448645107, 0.999458459428057, 0.022377634507306104, -0.11505650724587327], [-0.1897157917374576, 0.026554526066978078, -0.9814798905279658, -0.00027465819999861196]]]
