[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.317964267390336, -0.010929892041624754, 0.9480396943814564, 0.0], [-0.0002530996102986973, 0.9999325342427107, 0.011613048847632543, 0.0], [-0.9481026635357134, -0.00393248304620131, 0.3179400493388292, 0.0]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.3224964333059059, -0.012260175668157198, 0.946491277613035, 0.36829630837611466], [-3.676459355613749e-05, 0.9999159537099679, 0.012964727712142573, -1.2660045606584405], [-0.9465706783718446, -0.004215875813074089, 0.32246887793676254, -0.010871887199996877]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.3267405398909866, -0.01281808034546894, 0.9450271511485815, 0.34169451294951214], [0.0007420290417498702, 0.9999111965012643, 0.013305957474436652, -1.1579727476241315], [-0.9451137862631398, -0.0036463581375695484, 0.3267210355757413, -0.011779785160001666]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.330834320500678, -0.011233724957866729, 0.9436219877696925, 0.3485874850503469], [0.001393482398523001, 0.9999338694498973, 0.01141555665576504, -1.163929143598776], [-0.943687824752264, -0.002461737298530666, 0.3308280962430691, -0.012985229489999028]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.3358370054114659, -0.012395045568347536, 0.9418385576316238, 0.389918356173603], [0.0022424170092890236, 0.9999210997547044, 0.012359847543512287, -1.2866945494981734], [-0.9419174472119175, -0.0020388993847180368, 0.335838302650373, -0.008735656740000763]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.3404995429633701, -0.013030883147538995, 0.9401543795176042, 0.3620866246123909], [0.002193868912874536, 0.9999122479080125, 0.013064586588884828, -1.1769057840012225], [-0.940242122105221, -0.0023859102959941383, 0.340498251465599, -0.004295349119999514]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.34576702046765034, -0.012977341528181332, 0.9382306518995125, 0.4074208734759315], [0.002213630707447057, 0.9999128546417165, 0.013014720947618796, -1.3027513910793995], [-0.9383177859318316, -0.0024231651025632354, 0.34576561551847695, -0.00724792481000236]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.35078039599063676, -0.010186124947925807, 0.9364023476301185, 0.3762675887711109], [0.002039460202024436, 0.9999467787933829, 0.010113366542447837, -1.1910783089271992], [-0.936455527182544, -0.0016378153994844318, 0.3507825012311486, -0.007759094240000763]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.3557858735785921, -0.009044902114736856, 0.9345237299863781, 0.3843222004366548], [0.0019682275305825197, 0.9999581996579014, 0.008928886678443257, -1.1950404896528464], [-0.9345654274807655, -0.001337416413632333, 0.3557888040327163, -0.006660461419997432]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.36029533929745067, -0.01028517397786864, 0.9327815841218029, 0.3918377752290618], [0.002196387595235944, 0.9999457969875433, 0.010177375323655102, -1.1978895439292414], [-0.9328357006258211, -0.0016181109949641554, 0.3602984004332264, -0.0017776489300018739]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.3644628134595803, -0.01344931657010676, 0.9311208157317311, 0.4397229729045628], [0.002705092672666816, 0.9999067706452754, 0.01338403867929736, -1.3191043377118694], [-0.9312140141120941, -0.002359216296505107, 0.3644652164743665, 0.0005035400400004164]]]
[[[721.5377, 0, 609.5593], [0, 721.5377, 172.854], [0, 0, 1]], [[0.36735402454919547, -0.015353091503281664, 0.9299544629866566, 0.4070548970517314], [0.0028782776790771463, 0.999877724111157, 0.015370502395661496, -1.2059234704380941], [-0.9300767367078435, -0.002969748741016632, 0.3673532964699024, -0.0010986328099988896]]]
